Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total,,
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,,,
0,0,0.01,L,5.00E-01,-3.66E-04,0.00073253,0.041970885,-5.37E-05,-7.33E-02,0.146535117,8.395843733,-0.01610334,-7.32674443,14.65350852,839.5841931,L,0.00E+00,-2.95E-16,-2.12E-16,-2.54E-14,L,1.00E+00,-7.33E-04,-1.07E-04,-1.47E-01,L,-0.000859383,-2002.197701,L,0.002897599,L,-0.002897024,0.002897599,-0.002897024,5.75E-07
0.44,-,0.1183302,-0.48579622,1.33186917,76.31048232,-2.59228108,-0.63142759,5.336149164,305.738826,-5.05408744,13.42244049,3.467906062,198.6963811,-,-2.66E-14,-2.90E-14,-5.91E-13,9.25E-13,-,0.2366604,-0.97159243,-5.18456215,-1.26285518,-,4887.255421,-18254.90267,-,0.842472815,-,-3.84247224,3.842472815,-3.84247224,5.75E-07,,
0.45,-,0.0921723,-0.49143084,1.385391336,79.37707653,-2.63751236,-0.4946893,5.367006223,307.5068052,-3.98250066,13.90656059,2.701295869,154.7728525,-,6.16E-14,3.00E-14,5.02E-13,-5.41E-13,-,0.1843446,-0.98286167,-5.27502472,-0.98937861,-,4075.02572,-18731.92612,-,0.887040619,-,-3.887040044,3.887040619,-3.887040044,5.75E-07,,
0.46,-,0.06561658,-0.49567577,1.439183534,82.45914245,-2.67175989,-0.3536823,5.390136202,308.8320554,-2.85959348,14.27496726,1.9230267,110.1813138,-,-1.57E-14,-1.01E-14,-1.18E-13,6.58E-13,-,0.13123316,-0.99135153,-5.34351978,-0.70736459,-,3211.023318,-19122.26402,-,0.92061647,-,-3.920615895,3.92061647,-3.920615895,5.75E-07,,
0.47,-,0.03877521,-0.49849422,1.493167965,85.55222251,-2.69458,-0.20959702,5.40543884,309.7088319,-1.69944574,14.52132376,1.136386019,65.11012277,-,3.40E-15,-1.02E-15,6.32E-14,3.22E-13,-,0.07755042,-0.99698843,-5.38915999,-0.41919404,-,2305.642136,-19419.30412,-,0.942909391,-,-3.942908816,3.942909391,-3.942908816,5.75E-07,,
0.48,-,0.01176408,-0.49986159,1.547265993,88.6518112,-2.70567446,-0.06367717,5.412847331,310.1333072,-0.51701221,14.64134687,0.344770217,19.75387832,-,5.60E-15,6.82E-16,1.18E-13,1.85E-13,-,0.02352816,-0.99972317,-5.41134892,-0.12735435,-,1370.234522,-19617.93722,-,0.953724804,-,-3.953724229,3.953724804,-3.953724229,5.75E-07,,
0.49,-,-0.01529869,-0.4997659,1.601398486,91.75337456,-2.70489755,0.08280155,5.412329197,310.1036203,0.67222387,14.63293666,0.448359131,5.689085899,-,1.08E-14,1.99E-15,1.37E-13,1.37E-13,-,-0.03059738,-0.99953179,-5.40979509,0.16560311,-,416.8582543,-19714.70984,-,0.952967915,-,-3.95296734,3.952967915,-3.95296734,5.75E-07,,
0.5,-,-0.04229432,-0.49820798,1.655486159,94.85236995,-2.69225948,0.22855369,5.403886711,309.6199015,1.85261727,14.49624055,0.239520552,1.019296267,-,1.19E-14,3.41E-15,1.75E-13,2.34E-13,-,-0.08458863,-0.99641596,-5.38451896,0.45710738,-,-542.002805,-19707.92882,-,0.940645366,-,-3.940644791,3.940645366,-3.940644791,5.75E-07,,
0.51,-,-0.06910488,-0.49520149,1.709449925,97.944266,-2.66792619,0.37230647,5.387556872,308.6842706,3.00873329,14.23364884,0.02525844,16.03876104,-,4.83E-14,-9.55E-15,-9.55E-15,-2.59E-13,-,-0.13820976,-0.99040298,-5.33585238,0.74461294,-,-1493.734154,-19597.71306,-,0.916865121,-,-3.916864546,3.916865121,-3.916864546,5.75E-07,,
0.52,-,-0.0956149,-0.49077265,1.763211239,101.0245624,-2.63221537,0.51282199,5.363410915,307.3008092,4.12571236,13.84972173,0.802188195,60.55355698,-,-5.04E-15,1.92E-14,5.21E-13,6.86E-13,-,-0.1912298,-0.98154529,-5.26443075,1.02564397,-,-2425.891057,-19385.98977,-,0.881834579,-,-3.881834004,3.881834579,-3.881834004,5.75E-07,,
0.53,-,-0.12171279,-0.48495979,1.816692435,104.0888092,-2.58558901,0.64891822,5.331553386,305.4755073,5.18961297,13.35105148,0.567039693,4.376319752,-,6.18E-14,-2.74E-14,-3.12E-13,-4.37E-13,-,-0.24342557,-0.96991958,-5.17117802,1.29783645,-,-3326.492506,-19076.4358,-,0.835856978,-,-3.835856402,3.835856978,-3.835856402,5.75E-07,,
0.54,-,-0.14729226,-0.47781271,1.869817053,107.1326256,-2.52864259,0.77948846,5.292120787,303.2161858,6.18772027,12.74606579,0.316698065,47.32858058,-,2.42E-14,8.19E-15,1.12E-13,3.62E-14,-,-0.29458453,-0.95562543,-5.05728518,1.55897691,-,-4184.297679,-18674.36637,-,0.779326191,-,-3.779325615,3.779326191,-3.779325615,5.75E-07,,
0.55,-,-0.17225361,-0.46939183,1.922510153,110.1517178,-2.46209152,0.9035184,5.245279835,300.5323969,7.10880989,12.04478126,0.048240902,89.24289762,-,4.12E-14,-1.12E-14,-1.72E-13,-1.13E-13,-,-0.34450722,-0.93878367,-4.92418303,1.8070368,-,-4989.05481,-18186.57657,-,0.712720079,-,-3.712719503,3.712720079,-3.712719503,5.75E-07,,
0.56,-,-0.1965048,-0.45976718,1.974698602,113.1418957,-2.38675507,1.02010071,5.191225372,297.4353043,7.94335859,11.25851801,0.758971089,29.96473773,-,8.95E-14,-1.23E-13,-1.21E-12,-3.39E-13,-,-0.3930096,-0.91953437,-4.77351014,2.04020142,-,-5731.71388,-17621.14265,-,0.636592585,-,-3.63659201,3.636592585,-3.63659201,5.75E-07,,
0.57,-,-0.21996244,-0.44901729,2.026311348,116.0990882,-2.3035386,1.12844646,5.130177966,293.9375456,8.68369628,10.39958727,0.446444688,69.35407349,-,-1.96E-14,1.84E-13,3.20E-12,7.34E-13,-,-0.43992488,-0.89803458,-4.6070772,2.25689292,-,-6404.59647,-16987.19181,-,0.551564804,-,-3.551564228,3.551564804,-3.551564228,5.75E-07,,
0.58,-,-0.24255254,-0.43722793,2.077279661,119.0193575,-2.21341449,1.22789344,5.062381261,290.0530805,9.32409662,9.48096489,0.108493388,7.286669841,-,6.76E-14,-1.90E-13,-2.05E-12,1.15E-13,-,-0.48510508,-0.87445586,-4.42682898,2.45578689,-,-7001.518295,-16294.65039,-,0.45831526,-,-3.458314685,3.45831526,-3.458314685,5.75E-07,,
0.59,-,-0.2642111,-0.42449087,2.127537353,121.8989111,-2.11740252,1.31791116,4.988099135,285.7970282,9.8608067,8.51596337,0.743241283,43.65504526,-,4.05E-14,1.50E-13,2.15E-12,-1.53E-13,-,-0.5284222,-0.84898173,-4.23480504,2.63582232,-,-7517.862324,-15553.98062,-,0.357569674,-,-3.357569099,3.357569674,-3.357569099,5.75E-07,,
0.6,-,-0.28488446,-0.41090248,2.177020961,124.734113,-2.01655022,1.39810258,4.907612714,281.185496,10.29201841,7.51791417,0.349115875,78.3691023,-,3.12E-14,-6.82E-15,1.02E-12,8.53E-14,-,-0.56976891,-0.82180496,-4.03310045,2.79620517,-,-7950.602638,-14775.91612,-,0.250090447,-,-3.250089871,3.250090447,-3.250089871,5.75E-07,,
